"","Yr","Mnt","Day","SagOrig","PentOrig","S"
"1",1966,5,1,89.6,91.7,TRUE
"2",1966,5,2,91,94,TRUE
"3",1966,5,3,92.5,92.38,TRUE
"4",1966,5,4,92.7,90.75,TRUE
"5",1966,5,5,90.3,89.12,TRUE
"6",1966,5,6,87.1,87.5,TRUE
"7",1966,5,7,90,89.8,TRUE
"8",1966,5,8,86.4,87.8,TRUE
"9",1966,5,9,84,87.6,TRUE
"10",1966,5,10,86,86.6,TRUE
"11",1966,5,11,86.9,88.4,TRUE
"12",1966,5,12,87.9,92.6,TRUE
"13",1966,5,13,89.4,92.9,TRUE
"14",1966,5,14,89.4,97.2,TRUE
"15",1966,5,15,92.4,99.3,TRUE
"16",1966,5,16,94.5,100.1,TRUE
"17",1966,5,17,93.6,98.9,TRUE
"18",1966,5,18,92.1,98.7,TRUE
"19",1966,5,19,101.5,107.1,TRUE
"20",1966,5,20,106.2,115.5,TRUE
"21",1966,5,21,106.9,123.6,TRUE
"22",1966,5,22,109.8,121.1,TRUE
"23",1966,5,23,104,113.9,TRUE
"24",1966,5,24,102.5,117.7,TRUE
"25",1966,5,25,101.7,115.1,TRUE
"26",1966,5,26,105.2,112.3,TRUE
"27",1966,5,27,102,108.4,TRUE
"28",1966,5,28,99.6,107.5,TRUE
"29",1966,5,29,99.9,106,TRUE
"30",1966,5,30,96.9,101.5,TRUE
"31",1966,5,31,105.1,105.6,TRUE
"32",1966,6,1,106.3,104.8,TRUE
"33",1966,6,2,103,103.9,TRUE
"34",1966,6,3,100,102.6,TRUE
"35",1966,6,4,98.5,102,TRUE
"36",1966,6,5,97.5,101.6,TRUE
"37",1966,6,6,97.6,101.9,TRUE
"38",1966,6,7,95.2,96.9,TRUE
"39",1966,6,8,98.5,99.5,TRUE
"40",1966,6,9,97.2,98.8,TRUE
"41",1966,6,10,96.6,96.8,TRUE
"42",1966,6,11,94.2,96.1,TRUE
"43",1966,6,12,91.7,95.9,TRUE
"44",1966,6,13,96.3,96,TRUE
"45",1966,6,14,93.3,96.9,TRUE
"46",1966,6,15,92.6,94.7,TRUE
"47",1966,6,16,93.1,97.9,TRUE
"48",1966,6,17,98.4,99.5,TRUE
"49",1966,6,18,91.8,98.2,TRUE
"50",1966,6,19,90.9,96.9,TRUE
"51",1966,6,20,92,94.3,TRUE
"52",1966,6,21,93.3,93.5,TRUE
"53",1966,6,22,93.7,96.1,TRUE
"54",1966,6,23,96.7,99.2,TRUE
"55",1966,6,24,96.7,103.5,TRUE
"56",1966,6,25,110,104.9,TRUE
"57",1966,6,26,108.5,105.5,TRUE
"58",1966,6,27,94.5,100.8,TRUE
"59",1966,6,28,94.2,101.4,TRUE
"60",1966,6,29,96,99.7,TRUE
"61",1966,6,30,97.8,100.7,TRUE
"62",1966,7,1,98.4,100,TRUE
"63",1966,7,2,95.9,98.2,TRUE
"64",1966,7,3,97.8,99.2,TRUE
"65",1966,7,4,100.2,104.8,TRUE
"66",1966,7,5,99.1,105,TRUE
"67",1966,7,6,112.7,109.7,TRUE
"68",1966,7,7,107.5,112.6,TRUE
"69",1966,7,8,107.6,114.3,TRUE
"70",1966,7,9,100.6,107.8,TRUE
"71",1966,7,10,104.6,108.1,TRUE
"72",1966,7,11,101.2,108.9,TRUE
"73",1966,7,12,96.1,102.7,TRUE
"74",1966,7,13,93.9,100.4,TRUE
"75",1966,7,14,95.4,99.8,TRUE
"76",1966,7,15,96.6,101.1,TRUE
"77",1966,7,16,98.4,102.8,TRUE
"78",1966,7,17,96.3,101.2,TRUE
"79",1966,7,18,95.4,101.3,TRUE
"80",1966,7,19,97.3,101.5,TRUE
"81",1966,7,20,102,101.8,TRUE
"82",1966,7,21,99.2,103.7,TRUE
"83",1966,7,22,103.9,106.5,TRUE
"84",1966,7,23,110,114.9,TRUE
"85",1966,7,24,115,120.6,TRUE
"86",1966,7,25,122,126,TRUE
"87",1966,7,26,126,127.6,TRUE
"88",1966,7,27,122.7,123.8,TRUE
"89",1966,7,28,-99.9,124.2,FALSE
"90",1966,7,29,-99.9,132.8,FALSE
"91",1966,7,30,123.9,128,TRUE
"92",1966,7,31,121.1,124.6,TRUE
"93",1966,8,1,117.4,125.9,TRUE
"94",1966,8,2,117.5,119.5,TRUE
"95",1966,8,3,119.8,118.2,TRUE
"96",1966,8,4,116,116,TRUE
"97",1966,8,5,106,110.5,TRUE
"98",1966,8,6,102,105.9,TRUE
"99",1966,8,7,97.3,101.5,TRUE
"100",1966,8,8,-99.9,97.7,FALSE
"101",1966,8,9,93,96.4,TRUE
"102",1966,8,10,90.5,94.3,TRUE
"103",1966,8,11,88.5,92.5,TRUE
"104",1966,8,12,90.4,92.8,TRUE
"105",1966,8,13,93.4,93.2,TRUE
"106",1966,8,14,90.6,92.8,TRUE
"107",1966,8,15,96.8,93.6,TRUE
"108",1966,8,16,96.8,95.1,TRUE
"109",1966,8,17,94,96.7,TRUE
"110",1966,8,18,94.6,97.4,TRUE
"111",1966,8,19,95.9,100,TRUE
"112",1966,8,20,99.2,101.5,TRUE
"113",1966,8,21,100,102.7,TRUE
"114",1966,8,22,102.3,105.4,TRUE
"115",1966,8,23,116.4,114.7,TRUE
"116",1966,8,24,123.5,122,TRUE
"117",1966,8,25,125.1,126.2,TRUE
"118",1966,8,26,127,130.2,TRUE
"119",1966,8,27,130.6,133.4,TRUE
"120",1966,8,28,135,132.6,TRUE
"121",1966,8,29,122.6,129.8,TRUE
"122",1966,8,30,120.7,126.2,TRUE
"123",1966,8,31,115.2,120.9,TRUE
"124",1966,9,1,108.9,116.6,TRUE
"125",1966,9,2,102.1,106.2,TRUE
"126",1966,9,3,101.7,103.2,TRUE
"127",1966,9,4,-99.9,101.9,FALSE
"128",1966,9,5,-99.9,100.5,FALSE
"129",1966,9,6,93.1,97.9,TRUE
"130",1966,9,7,94.6,95.8,TRUE
"131",1966,9,8,94.6,96.2,TRUE
"132",1966,9,9,94,95.3,TRUE
"133",1966,9,10,94.4,93.9,TRUE
"134",1966,9,11,98.1,96.7,TRUE
"135",1966,9,12,102,100.8,TRUE
"136",1966,9,13,-99.9,102.3,FALSE
"137",1966,9,14,-99.9,107.2,FALSE
"138",1966,9,15,-99.9,112,FALSE
"139",1966,9,16,-99.9,124.6,FALSE
"140",1966,9,17,128,129.1,TRUE
"141",1966,9,18,135,142.6,TRUE
"142",1966,9,19,144,146.6,TRUE
"143",1966,9,20,140,146.1,TRUE
"144",1966,9,21,134,137.1,TRUE
"145",1966,9,22,128,131.5,TRUE
"146",1966,9,23,129,127.4,TRUE
"147",1966,9,24,124.6,126,TRUE
"148",1966,9,25,116,118.8,TRUE
"149",1966,9,26,111.4,109.4,TRUE
"150",1966,9,27,115.2,102.9,TRUE
"151",1966,9,28,96.5,97.9,TRUE
"152",1966,9,29,98.5,98.6,TRUE
"153",1966,9,30,93.4,95.6,TRUE
"154",1966,10,1,-99.9,101.4,FALSE
"155",1966,10,2,-99.9,102,FALSE
"156",1966,10,3,101.1,103.2,TRUE
"157",1966,10,4,103.1,100.6,TRUE
"158",1966,10,5,102,100,TRUE
"159",1966,10,6,106.3,101.9,TRUE
"160",1966,10,7,104.2,103,TRUE
"161",1966,10,8,98.5,99.4,TRUE
"162",1966,10,9,103.6,103.5,TRUE
"163",1966,10,10,105,106.5,TRUE
"164",1966,10,11,-99.9,109.9,FALSE
"165",1966,10,12,-99.9,114.8,FALSE
"166",1966,10,13,-99.9,122.8,FALSE
"167",1966,10,14,-99.9,120.2,FALSE
"168",1966,10,15,118.1,120.6,TRUE
"169",1966,10,16,118.7,120.4,TRUE
"170",1966,10,17,120.5,120.5,TRUE
"171",1966,10,18,119.6,118.6,TRUE
"172",1966,10,19,118,115.5,TRUE
"173",1966,10,20,118.8,124.1,TRUE
"174",1966,10,21,120,120.9,TRUE
"175",1966,10,22,119.1,119.8,TRUE
"176",1966,10,23,104.7,111,TRUE
"177",1966,10,24,101.6,106.1,TRUE
"178",1966,10,25,99.2,100.8,TRUE
"179",1966,10,26,95.6,97.7,TRUE
"180",1966,10,27,90.5,92,TRUE
"181",1966,10,28,91.6,94.1,TRUE
"182",1966,10,29,97.9,99.7,TRUE
"183",1966,10,30,100.3,95.7,TRUE
"184",1966,10,31,99.1,97.1,TRUE
"185",1966,11,1,94.3,94.5,TRUE
"186",1966,11,2,95.8,96.7,TRUE
"187",1966,11,3,94,93.1,TRUE
"188",1966,11,4,93.8,91.7,TRUE
"189",1966,11,5,95.4,97.9,TRUE
"190",1966,11,6,104.1,104.7,TRUE
"191",1966,11,7,113,113.4,TRUE
"192",1966,11,8,117,117,TRUE
"193",1966,11,9,118.3,117.2,TRUE
"194",1966,11,10,121.7,122,TRUE
"195",1966,11,11,126.3,126.1,TRUE
"196",1966,11,12,132.4,126.3,TRUE
"197",1966,11,13,126.9,126.4,TRUE
"198",1966,11,14,129,124,TRUE
"199",1966,11,15,127.2,122.7,TRUE
"200",1966,11,16,124.3,121.1,TRUE
"201",1966,11,17,118.2,113.3,TRUE
